# Track Animation Curve
# Total points: 400

1.66884 0 2.63672
1.66483 0 2.603
1.65947 0 2.56865
1.65279 0 2.53368
1.64481 0 2.4981
1.63556 0 2.46193
1.62508 0 2.42518
1.61338 0 2.38785
1.60051 0 2.34998
1.58648 0 2.31155
1.57133 0 2.2726
1.55508 0 2.23312
1.53777 0 2.19314
1.51942 0 2.15266
1.50006 0 2.11171
1.47972 0 2.07028
1.45843 0 2.0284
1.43621 0 1.98607
1.4131 0 1.94331
1.38912 0 1.90013
1.36431 0 1.85655
1.33868 0 1.81257
1.31228 0 1.76821
1.28512 0 1.72348
1.25724 0 1.67839
1.22867 0 1.63296
1.19943 0 1.5872
1.16956 0 1.54112
1.13907 0 1.49473
1.10801 0 1.44805
1.0764 0 1.40109
1.04426 0 1.35386
1.01163 0 1.30638
0.97853 0 1.25865
0.944997 0 1.21069
0.911056 0 1.16251
0.876736 0 1.11412
0.842064 0 1.06554
0.807071 0 1.01678
0.771784 0 0.967852
0.736233 0 0.918768
0.700445 0 0.869539
0.664449 0 0.820179
0.628275 0 0.770701
0.591951 0 0.721118
0.555504 0 0.671441
0.518965 0 0.621682
0.482361 0 0.571856
0.445722 0 0.521974
0.409075 0 0.472048
0.37245 0 0.422092
0.335875 0 0.372118
0.299379 0 0.322138
0.26299 0 0.272164
0.226737 0 0.22221
0.190649 0 0.172288
0.154754 0 0.12241
0.119081 0 0.0725892
0.0836591 0 0.022838
0.0485158 0 -0.0268312
0.0136805 0 -0.0764062
-0.0208185 0 -0.125874
-0.0549524 0 -0.175223
-0.0886922 0 -0.224439
-0.12201 0 -0.27351
-0.154877 0 -0.322424
-0.187264 0 -0.37117
-0.219143 0 -0.419732
-0.250484 0 -0.4681
-0.281261 0 -0.51626
-0.311443 0 -0.564201
-0.341002 0 -0.61191
-0.369911 0 -0.659374
-0.398139 0 -0.70658
-0.425658 0 -0.753517
-0.45244 0 -0.800171
-0.478456 0 -0.84653
-0.503678 0 -0.892582
-0.528076 0 -0.938313
-0.551623 0 -0.983713
-0.574288 0 -1.02877
-0.596045 0 -1.07346
-0.616864 0 -1.11779
-0.636717 0 -1.16173
-0.655574 0 -1.20528
-0.673409 0 -1.24843
-0.69019 0 -1.29115
-0.705891 0 -1.33343
-0.720482 0 -1.37528
-0.733936 0 -1.41666
-0.746222 0 -1.45758
-0.757313 0 -1.49801
-0.767179 0 -1.53795
-0.775793 0 -1.57738
-0.783127 0 -1.61629
-0.789149 0 -1.65466
-0.793833 0 -1.69249
-0.79715 0 -1.72976
-0.799071 0 -1.76647
-0.799568 0 -1.80258
-0.798611 0 -1.83811
-0.796183 0 -1.87302
-0.792301 0 -1.90733
-0.786997 0 -1.94103
-0.780299 0 -1.97411
-0.772236 0 -2.00658
-0.762838 0 -2.03843
-0.752134 0 -2.06967
-0.740154 0 -2.10029
-0.726927 0 -2.13028
-0.71248 0 -2.15966
-0.696846 0 -2.18841
-0.680052 0 -2.21653
-0.662129 0 -2.24403
-0.643104 0 -2.2709
-0.623008 0 -2.29714
-0.60187 0 -2.32275
-0.579719 0 -2.34772
-0.556585 0 -2.37207
-0.532496 0 -2.39577
-0.507483 0 -2.41884
-0.481574 0 -2.44126
-0.454798 0 -2.46305
-0.427186 0 -2.48419
-0.398766 0 -2.5047
-0.369568 0 -2.52455
-0.339621 0 -2.54376
-0.308954 0 -2.56232
-0.277597 0 -2.58022
-0.245578 0 -2.59748
-0.212928 0 -2.61408
-0.179675 0 -2.63003
-0.145849 0 -2.64532
-0.111479 0 -2.65996
-0.0765949 0 -2.67393
-0.0412253 0 -2.68724
-0.00539998 0 -2.6999
0.0308521 0 -2.71188
0.0675017 0 -2.7232
0.104519 0 -2.73385
0.141875 0 -2.74384
0.17954 0 -2.75315
0.217486 0 -2.76179
0.255682 0 -2.76976
0.2941 0 -2.77705
0.33271 0 -2.78366
0.371482 0 -2.7896
0.410388 0 -2.79486
0.449399 0 -2.79943
0.488484 0 -2.80332
0.527615 0 -2.80653
0.566762 0 -2.80905
0.605896 0 -2.81089
0.644988 0 -2.81203
0.684008 0 -2.81248
0.722927 0 -2.81225
0.761716 0 -2.81131
0.800345 0 -2.80968
0.838785 0 -2.80736
0.877008 0 -2.80433
0.914983 0 -2.80061
0.95268 0 -2.79618
0.990072 0 -2.79105
1.02713 0 -2.78522
1.06382 0 -2.77867
1.10012 0 -2.77142
1.13599 0 -2.76347
1.17141 0 -2.7548
1.20635 0 -2.74541
1.24078 0 -2.73531
1.27467 0 -2.7245
1.30799 0 -2.71297
1.3407 0 -2.70072
1.37279 0 -2.68775
1.40423 0 -2.67406
1.43497 0 -2.65964
